position,link,title,source,date,snippet,thumbnail
10,https://housing.com/news/rustomjee-group-launches-luxury-residential-project-in-mumbais-bandra/,Rustomjee Group launches luxury residential project in Mumbai’s Bandra,Housing,"May 8, 2024","With the launch of the project, Rustomjee Group is anticipating a gross 
development value (GDV) of approximately Rs 375 crore.",https://serpapi.com/searches/66afb679979054fb3fe18156/images/835f0c665f9a4b0a4112b48966265ec278b2c7f801f1b7fdabff89f8eb329339.jpeg
1,https://timesofindia.indiatimes.com/city/mumbai/only-2-strong-bidders-for-24-acre-prime-bandra-reclamation-plot/articleshow/107610357.cms,Only 2 strong bidders for 24-acre prime Bandra Reclamation plot,Times of India,"Feb 12, 2024","Adani Realty and L&T Realty are the only two strong contenders for one of 
Mumbai's prime land parcels at Bandra Reclamation put on the block by 
Maharashtra...",https://serpapi.com/searches/66afbe89ca968ff730d0113e/images/7854895adc640a280e7a5d8cced23abfdf37dd99d4a0860f9ebf72a7a5cc8e73.jpeg
2,https://www.moneycontrol.com/news/business/real-estate/can-south-mumbai-commercial-real-estate-market-catch-up-with-bkc-with-infra-boost-12491631.html,Can South Mumbai commercial real estate market catch up with BKC with infra boost?,Moneycontrol,"Mar 20, 2024","Mumbai real estate: South Mumbai, or Sobo, real estate market has over the 
last five to 10 years lost it prominence owing to dearth of...",https://serpapi.com/searches/66afbe89ca968ff730d0113e/images/7854895adc640a28f0f779e3ed7d434c7313f48b92e71b12a4d5b01c1f959aed.jpeg
3,https://media.biltrax.com/puravankara-to-redevelop-2-5-acre-housing-society-in-mumbais-pali-hill/,Puravankara set to redevelop 2.5 Acre housing society in Mumbai’s Pali Hill,Biltrax Media,"Apr 24, 2024","Puravankara has been appointed as the preferred developer to redevelop a 
housing society in Pali Hill neighborhood of Mumbai's Bandra West.",https://serpapi.com/searches/66afbe89ca968ff730d0113e/images/7854895adc640a28bebfe2530726f8fbf83c325963aa29588210481a6cf7187c.jpeg
4,https://www.businesstoday.in/real-estate/story/cricketer-rohit-sharma-leases-2-apartments-in-bandra-heres-what-he-will-make-414482-2024-01-23,Cricketer Rohit Sharma leases 2 apartments in Bandra. Here's what he will make,Business Today,"Jan 23, 2024","According to Zapkey.com, a platform that aggregates property registration 
data, the two apartments are located on the 14th floor and spread...",https://serpapi.com/searches/66afbe89ca968ff730d0113e/images/7854895adc640a28c9e4fc162be92a46e8b27a48b45cb7ed69ab293b104c1244.jpeg
5,https://www.timesnownews.com/mumbai/manhattans-office-building-sold-at-usd-150-per-square-foot-price-less-than-half-the-rate-at-mumbais-bkc-says-kotak-founder-uday-kotak-article-108566832,Mumbai's BKC Property Rate Expensive Than Manhattan's? Here's What Kotak Founder Said,Times Now,"Mar 17, 2024","The 778,000 square foot tower located at 222 Broadway exchanged hands for a 
mere USD 150 million, marking a significant decrease from its...",https://serpapi.com/searches/66afbe89ca968ff730d0113e/images/7854895adc640a28b00767d36e8b447621928de8e9afb160fbfa2c25c4d57568.jpeg
6,https://www.moneycontrol.com/news/business/real-estate/mumbai-redevelopment-news-micl-to-take-up-bollywood-actor-aamir-khans-pali-hill-building-11971681.html,Mumbai redevelopment news: MICL to take up Bollywood actor Aamir Khan's Pali Hill building,Moneycontrol,"Dec 29, 2023","Listed company Man Infraconstruction Limited (MICL) on December 29, 
announced a redevelopment project in Mumbai's Pali Hill area of Bandra.",https://serpapi.com/searches/66afbe89ca968ff730d0113e/images/7854895adc640a285eef5749f8e79220060320298ed9e22c4904f2032accb447.jpeg
7,https://www.hindustantimes.com/real-estate/sunteck-realty-to-launch-luxury-housing-projects-in-mumbai-with-a-gross-development-value-of-rs-3000-crore-101706539312428.html,Sunteck Realty to launch luxury projects in Mumbai with a GDV of ₹3000 crore,Hindustan Times,"Jan 29, 2024","Though Sunteck Realty did not disclose the exact size of the land, industry 
sources said the two projects will come up on a cumulative land...",https://serpapi.com/searches/66afbe89ca968ff730d0113e/images/7854895adc640a283d782cc972a6e0eebd6b557180d0597deee7a155a434d89c.jpeg
8,https://www.freepressjournal.in/business/maricos-priyanjali-mariwala-buys-a-luxury-flat-worth-65-crore-in-mumbais-bandra-kurla-complex,Maricos Priyanjali Mariwala Buys A Luxury Flat Worth ₹65 Crore In Mumbais Bandra-Kurla Complex,Free Press Journal,1 month ago,"The city of Mumbai is no stranger to unimaginably mind-numbing property 
rates. And every few weeks, another leaf of luxury lands on the...",https://serpapi.com/searches/66afbe89ca968ff730d0113e/images/7854895adc640a281aaa8fea4b657f815201cf09b601b5fa62dd5467367a0e16.jpeg
9,https://www.hindustantimes.com/real-estate/cricketer-rohit-sharma-leases-two-apartments-in-mumbai-for-about-rs-3-lakh-per-month-101705665281451.html,Rohit Sharma leases two apartments in Mumbai for ₹3 lakh per month,Hindustan Times,"Jan 22, 2024","Cricketer Rohit Sharma has leased two apartments in Mumbai's Bandra West 
area at a monthly rent of ₹3 lakh per month for three years.",https://serpapi.com/searches/66afbe89ca968ff730d0113e/images/7854895adc640a28281c713e3a54b4d5e104ee726b44739bfea74edf56868ad6.jpeg
10,https://realty.economictimes.indiatimes.com/news/residential/sonakshi-sinha-buys-apartment-in-mumbais-bandra/103622567,Sonakshi Sinha buys apartment in Mumbai's Bandra,ET Realty,"Sep 13, 2023","Sinha has bought the apartment directly from developer Pyramid Developers 
and Ultra Lifespaces. She has paid stamp duty worth Rs 55 lakh for...",https://serpapi.com/searches/66afbe89ca968ff730d0113e/images/7854895adc640a282fd44ba89085a718732c36aacf0b1c73d25731bfe03349b3.jpeg
1,https://housing.com/news/actor-preity-zinta-buys-apartment-worth-rs-17-01-cr-in-bandra/,Actor Preity Zinta buys apartment worth Rs 17.01 cr in Bandra,Housing,"Oct 26, 2023","Bollywood actor Preity Zinta purchased an apartment worth Rs 17.01 crore in 
Mumbai's Bandra. The property has a carpet area of 1474 sqft.",https://serpapi.com/searches/66afbe8b5119a672540772e1/images/355c85a9409de6ecff99669e20a76bbb569e98a6c0dbe6a111a62ee058577375.jpeg
2,https://www.hindustantimes.com/real-estate/adani-realty-secures-24-acre-bandra-reclamation-redevelopment-project-outbids-lt-101708068418294.html,Adani Realty secures 24-acre Bandra Reclamation Redevelopment project,Hindustan Times,"Feb 16, 2024","Adani Realty outbid L&T to grab the 24-acre Bandra Reclamation 
Redevelopment close to the Bandra-Worli Sea Link.",https://serpapi.com/searches/66afbe8b5119a672540772e1/images/355c85a9409de6ec577d4ed82fc6f476a15495486b0c95a292340cb88420ff28.jpeg
3,https://housing.com/news/jaaved-jaaferi-house/,"Inside Jaaved Jaaferi’s 7,000-sqft apartment in Bandra",Housing,1 month ago,"Jaaved Jaaferi, actor-comedian lives with his family in a lavish apartment 
in Mumbai's Bandra.",https://serpapi.com/searches/66afbe8b5119a672540772e1/images/355c85a9409de6eca4023c93da257f8ed309c3265c4108ac5ff0901cb63e1c17.jpeg
4,"https://www.zeebiz.com/real-estate/news-Raymond-Realty-launches-housing-project-in-Bandra-Mumbai-with-Rs-2,000-croe-revenue-potential-277304","Raymond Realty launches housing project in Bandra, Mumbai with Rs 2,000 croe revenue potential",Zee Business,"Feb 20, 2024","Raymond Realty, the real estate arm of Raymond Group, on Tuesday said it 
will develop a premium housing project at Bandra in Mumbai with an...",https://serpapi.com/searches/66afbe8b5119a672540772e1/images/355c85a9409de6ecf28bacb3518dcaa2a16e7751edcca158d6bec2879d336f67.jpeg
5,https://www.hindustantimes.com/real-estate/bandhan-bank-purchases-12-commercial-units-in-mumbais-bkc-for-rs-135-crore-101708090849540.html,Bandhan Bank purchases 12 commercial units in Mumbai's BKC for ₹135 crore,Hindustan Times,"Feb 16, 2024","Bandhan Bank has purchased 12 commercial units spread across two floors in 
Bandra Kurla Complex in Mumbai from four sellers.",https://serpapi.com/searches/66afbe8b5119a672540772e1/images/355c85a9409de6ec1bb8c6fd2a26e6b30c31342b09c04c0b8a907c1fffcd01a6.jpeg
6,https://m.economictimes.com/industry/services/property-/-cstruction/motilal-oswal-top-official-ashish-gumashta-buys-luxury-apartment-in-mumbais-bandra-west/articleshow/108469440.cms,Motilal Oswal top official Ashish Gumashta buys luxury apartment in Mumbai’s Bandra west,The Economic Times,"Mar 13, 2024","Ashish Gumashta, managing director of strategic initiatives at Motilal 
Oswal Financial Services, has purchased an under-construction luxury...",https://serpapi.com/searches/66afbe8b5119a672540772e1/images/355c85a9409de6ecda7ae09d981f10c551b64bb2e49aaf713ea6c8dd899e4e4e.jpeg
7,https://timesofindia.indiatimes.com/city/mumbai/bandra-hotelier-booked-for-sex-assault-on-divorcee/articleshow/111525007.cms,Bandra cops book hotelier for sex assault on divorcee,Times of India,1 month ago,"Bandra police file FIR against hotelier for sexual assault and criminal 
intimidation of a divorcee in Mumbai.",https://serpapi.com/searches/66afbe8b5119a672540772e1/images/355c85a9409de6ec2ac945540df9f05385361a561e5f9df5182302dc374134c8.jpeg
8,https://www.hindustantimes.com/real-estate/ajmera-realty-keystone-realtors-partner-to-redevelop-housing-project-in-mumbai-101705591100821.html,"Ajmera Realty, Keystone Realtors partner to redevelop housing project in Mumbai",Hindustan Times,"Jan 18, 2024","The redevelopment project aims to deliver premium luxury residential 
apartments with an estimated carpet area of approximately 130000 sq ft...",https://serpapi.com/searches/66afbe8b5119a672540772e1/images/355c85a9409de6ec0074f4a6d22686c5bd1add8f10695d90a46b647988ca002b.jpeg
9,https://housing.com/news/janhvi-kapoor-sridevi-home-mumbai/,Inside Bollywood Actress Janhvi Kapoor’s House,Housing,"May 2, 2024","Bollywood actress Janhvi Kapoor's Pali Hill house, Mumbai is nothing short 
of a marvel, adorned with classic paintings by late actress...",https://serpapi.com/searches/66afbe8b5119a672540772e1/images/355c85a9409de6ecd2d21e632cbb7f672e99c191a0f38e4c4b5fbba127db8e7b.jpeg
10,https://timesofindia.indiatimes.com/city/mumbai/bidding-for-24acre-bandra-land-rigged-to-favour-a-few-builders/articleshow/106972071.cms,Bidding for 24-acre Bandra land rigged to favour a few: Builders | Mumbai News,Times of India,"Jan 19, 2024","City builders hoping to bid for the 24-acre sprawl in Bandra Reclamation 
with a gross development value of Rs 30000 crore-plus,...",https://serpapi.com/searches/66afbe8b5119a672540772e1/images/355c85a9409de6ecc96e8a35eb4b7e31cce5e8be08c063d81ddd45d994f17c6f.jpeg
1,https://housing.com/news/john-abraham-house/,Inside John Abraham’s Mumbai house: Where class and sophistication meet,Housing,"Apr 1, 2024","John Abraham is a lot more than your regular Bollywood star. The actor 
resides in a spectacular house, 'Villa In The Sky' in Mumbai's Bandra...",https://serpapi.com/searches/66afbe8d9f55b3d763505006/images/ee94ff24bac4bec1c643e63dd3686487851bfad92d3dbfcae2ab3871cafbe9bf.jpeg
2,https://www.architectandinteriorsindia.com/news/shapoorji-pallonji-real-estate-announces-bkc-9-a-project-financed-by-wsb-fund-ii,"Shapoorji Pallonji Real Estate announces BKC 9, a project financed by WSB Fund II #RealEstate",Architect and Interiors India,"Feb 8, 2024","After the resounding success of Shapoorji Pallonji Real Estate's premium 
project BKC 28, WSB Real Estate Debt Fund II (WSBREDF II) has...",https://serpapi.com/searches/66afbe8d9f55b3d763505006/images/ee94ff24bac4bec188ac995951ef5badc4b2da83f535fcb48c5c87487ae1a8a2.jpeg
3,https://www.business-standard.com/markets/capital-market-news/raymond-realty-wins-redevelopment-project-in-bandra-east-mumbai-124061000892_1.html,"Raymond Realty wins redevelopment project in Bandra East, Mumbai",Business Standard,1 month ago,"With revenue potential of more than Rs 2,000 cr. Raymond Realty announced 
that it has been selected for the redevelopment of another...",https://serpapi.com/searches/66afbe8d9f55b3d763505006/images/ee94ff24bac4bec1649b60d279cf4c5d376f832e367c99122848b86bf2d94845.png
4,https://housing.com/news/tripti-dimri-buys-bungalow-in-bandra-for-rs-14-crore/,Tripti Dimri buys bungalow in Bandra for Rs 14 crore,Housing,1 month ago,"Tripti Dimri paid a stamp duty of Rs 70 lakh for the ground-plus-two storey 
bungalow that is located off Carter Road, Bandra (West).",https://serpapi.com/searches/66afbe8d9f55b3d763505006/images/ee94ff24bac4bec153e9c69d425864f3b90fc2fb4e6c317d7655df042467cd0f.jpeg
5,https://www.timesnownews.com/mumbai/how-opening-of-mumbai-coastal-road-has-led-to-surge-in-property-rates-in-bandra-andheri-area-article-108820508,How Opening Of Mumbai Coastal Road Has Led To Surge In Property Rates In Bandra-Andheri Area,Times Now,"Mar 27, 2024","Stakeholders report a 5-15 per cent increase in property values in the 
Bandra-Andheri area due to the project, with anticipated positive...",https://serpapi.com/searches/66afbe8d9f55b3d763505006/images/ee94ff24bac4bec1e385206a9fc23e050e2ca1921a1827bd47c1a6c25a11ba76.jpeg
6,https://www.hindustantimes.com/cities/mumbai-news/adani-realty-wins-bid-to-redevelop-24-acre-plot-at-bandra-reclamation-101708109658117.html,Adani Realty wins bid to redevelop 24-acre plot at Bandra Reclamation,Hindustan Times,"Feb 17, 2024","Adani Realty has emerged as the highest bidder for the redevelopment of a 
24-acre plot in Mumbai, beating Larsen & Toubro.",https://serpapi.com/searches/66afbe8d9f55b3d763505006/images/ee94ff24bac4bec1f16b302383acceeeb5724119f8f278b89923c3155f5041b1.jpeg
7,https://housing.com/news/aamir-khan-house/,"Aamir Khan house in Pali Hill, Mumbai and Panchgani",Housing,1 month ago,"The décor sporting a nature-theme at the Marina Apartments house is the 
brain child of Aamir Khan's ex-wife Kiran Rao. The 5,000 sqft Aamir...",https://serpapi.com/searches/66afbe8d9f55b3d763505006/images/ee94ff24bac4bec1458697a585e78d29e3527a6fd1b849b664128b7d814a5b1d.jpeg
8,https://m.economictimes.com/industry/services/property-/-cstruction/sunteck-realty-inks-pacts-for-rs-3000-crore-projects-in-mumbais-nepean-sea-road-bandra/articleshow/107234537.cms,"Sunteck Realty inks pacts for Rs 3,000 crore projects in Mumbai’s Nepean Sea Road, Bandra",The Economic Times,"Jan 29, 2024","Real estate major Sunteck Realty has entered into agreements to redevelop 
two prime projects valued at over Rs 3000 crore in Nepean Sea Road...",https://serpapi.com/searches/66afbe8d9f55b3d763505006/images/ee94ff24bac4bec12c51ba2d2ef4f027c0163fdb184f74d9a75cbe4e73a3a344.jpeg
9,https://housing.com/news/ranbir-kapoor-house/,Ranbir Kapoor house: Inside ‘Vastu’ apartment in Pali Hill,Housing,"Mar 29, 2024","Where does Ranbir Kapoor live? Ranbir Kapoor's house is located at Vastu 
apartment in Pali Hill, an affluent neighbourhood in Mumbai.",https://serpapi.com/searches/66afbe8d9f55b3d763505006/images/ee94ff24bac4bec1b2f882c00cae9c9cc7ae55e398cb0330414d2b5f86b924e5.jpeg
10,https://housing.com/news/sonakshi-sinha-home/,Sonakshi Sinha house: About the actor’s homes in Juhu and Bandra,Housing,1 month ago,"Sonakshi Sinha got the top floor of her house 'Ramayan' at JVPD Scheme, 
Juhu with rich textures and geometric shapes.",https://serpapi.com/searches/66afbe8d9f55b3d763505006/images/ee94ff24bac4bec16e443da8c0b7f2b45d9396df7a16b8e41d2cc6fa24774f73.jpeg
1,https://m.economictimes.com/industry/services/property-/-cstruction/adani-realty-gets-msrdcs-24-acre-bandra-reclamation-redevelopment-project/articleshow/107760190.cms,Adani Realty gets MSRDC's 24-acre Bandra Reclamation redevelopment project,The Economic Times,"Feb 16, 2024",The Adani Group's real estate development company Adani Realty has emerged as the highest bidder for the redevelopment of the Maharashtra...,https://serpapi.com/searches/66afbe8f9d1586c6d4df5705/images/2dc5f83bc4f3b14a5c2658647c95d5995d40ba0a019f29204357b3ce2cabab45.jpeg
2,https://www.constructionweekonline.in/projects-tenders/ajmera-realty-rustomjee-partner-to-jointly-redevelop-a-society-in-bandra,Ajmera Realty & Rustomjee partner to jointly redevelop a society in Bandra,Construction Week India,"Jan 18, 2024","Ajmera Luxe Realty (ALRPL), a joint venture between Ajmera Realty & Infra India (ARIIL), and Keystone Realtors (Rustomjee) will execute a...",https://serpapi.com/searches/66afbe8f9d1586c6d4df5705/images/2dc5f83bc4f3b14ab43733def00be72f8f05826853c90a37518d06676afead72.jpeg
3,https://www.propnewstime.com/getdetailsStories/ODE2NQ==/paradigm-realty-takes-up-redevelopment-projects-bandra-and-kandivali-worth-over-inr-4-500-crores,"Paradigm Realty takes up redevelopment projects Bandra and Kandivali worth over INR 4,500 crores",Prop News Time,1 month ago,"Paradigm Realty initiates a transformative INR 4500 crore redevelopment project in Mumbai's Bandra and Kandivali, upgrading 11 housing...",https://serpapi.com/searches/66afbe8f9d1586c6d4df5705/images/2dc5f83bc4f3b14a7b331bec19d8ad1db0513d503289465e24dbc92d72a45c19.jpeg
4,https://www.moneycontrol.com/news/videos/business/real-estate/searching-a-rental-home-as-a-hindu-muslim-couple-in-mumbai-from-bandra-to-powai-the-tenant-12430121.html,Searching a rental home as a Hindu-Muslim couple in Mumbai | From Bandra to Powai | The Tenant,Moneycontrol,"Mar 10, 2024",Description: Meet a couple that arguably had the toughest time in hunting an apartment. They are 1) Inter-faith couple with a Hindu-woman...,https://serpapi.com/searches/66afbe8f9d1586c6d4df5705/images/2dc5f83bc4f3b14ac60b5098cbfcbeb18724ee431b4bfef6b3beee83bd54ae46.jpeg
5,https://www.rprealtyplus.com/realty-spotlight/suntecks-new-luxury-projects-at-nepean-sea-bandra-bandstand-in-mumbai-113834.html,Sunteck's New Luxury Projects At Nepean Sea & Bandra- Bandstand In Mumbai,Realty Plus Magazine,"Jan 30, 2024","Sunteck Realty Limited, a Mumbai-based premium luxury real estate developer, is set to enter two of Mumbai's most exclusive and sought-after...",https://serpapi.com/searches/66afbe8f9d1586c6d4df5705/images/2dc5f83bc4f3b14a51c64eefaf545e29fb92f116920e886dcbf853ccaf26e68b.png
6,https://housing.com/news/puravankara-to-redevelop-residential-project-in-pali-hill-bandra/,"Puravankara to redevelop residential project in Pali Hill, Bandra",Housing,"Apr 24, 2024",The residential society to be redeveloped is spread slightly over two and a half acre. Check out the details.,https://serpapi.com/searches/66afbe8f9d1586c6d4df5705/images/2dc5f83bc4f3b14afd34c0d368d95449048410caaf44e26ff5551b8f75bf7d84.jpeg
7,https://www.constructionweekonline.in/projects-tenders/shapoorji-pallonji-real-estate-announces-bkc-9-a-project-financed-by-wsb-fund-ii,"Shapoorji Pallonji Real Estate announces BKC 9, a project financed by WSB Fund II",Construction Week India,"Feb 6, 2024","Anticipates revenue exceeding Rs 250 crore. Shapoorji Pallonji Real Estate announces BKC 9, a project financed by WSB Fund II. Bandra East...",https://serpapi.com/searches/66afbe8f9d1586c6d4df5705/images/2dc5f83bc4f3b14a38b0f550e6365b251dc7ef03dc79a62b242ae1f6306b4ef1.jpeg
8,https://housing.com/news/shapoorji-pallonji-raises-rs-55-cr-to-finance-new-project-in-mumbai/,Shapoorji Pallonji raises Rs 55 cr to finance new project in Mumbai,Housing,"Feb 6, 2024",Shapoorji Pallonji Real Estate raises Rs 55 crore to finance new luxury housing project in Mumbai; BKC 9 at Bandra East will offer 92...,https://serpapi.com/searches/66afbe8f9d1586c6d4df5705/images/2dc5f83bc4f3b14aca20440aa7d4467b1b721a59e1261c90e114cc8e413842e1.jpeg
9,https://www.constructionworld.in/latest-construction-news/real-estate-news/raymond-subsidiary-secures-mumbai-housing-project-eyes-rs-17-bn/46254,"Raymond subsidiary secures Mumbai housing project, eyes Rs 17 bn",Construction World,"Oct 31, 2023","Raymond revealed that its subsidiary, Ten X Realty, had secured the rights for redeveloping a housing society in Mumbai, which holds a...",https://serpapi.com/searches/66afbe8f9d1586c6d4df5705/images/2dc5f83bc4f3b14a14ac0f9b3821ed789ee802ac534e57e39e9bc217fd744335.jpeg
10,https://timesofindia.indiatimes.com/city/mumbai/salman-khan-to-build-19-floor-hotel-in-bandra/articleshow/100367077.cms,Salman Khan to build 19-floor hotel in Bandra,Times of India,"May 20, 2023",The city's lucrative real estate market has always been a safe haven for Bollywood bigwigs to invest their millions and buy marquee...,https://serpapi.com/searches/66afbe8f9d1586c6d4df5705/images/2dc5f83bc4f3b14a73d3185a060928f1e414aefa7f7d6e9122c7781ed5577c00.jpeg
1,https://housing.com/news/raymond-realty-to-redevelop-project-in-bandra-east/,Raymond Realty to redevelop project in Bandra (East),Housing,1 month ago,"June 10, 2024: Raymond Group's real estate arm Raymond Realty has been 
selected for the redevelopment of residential project – MIG VI CHS...",https://serpapi.com/searches/66afbe9158762b60f2f33732/images/c74ffc19b272535b8ecbd76dd0036024f94b70481185fb2099018914b8e9af6b.jpeg
2,https://timesproperty.com/article/post/ready-reckoner-rate-in-bandra-kurla-complex-blid7311,"Ready Reckoner Rate In Bandra Kurla Complex, Mumbai In 2024",Times Property,"Apr 16, 2024","2024 Ready Reckoner rates for Mumbai's BKC are here. Check the latest 
property prices now!",https://serpapi.com/searches/66afbe9158762b60f2f33732/images/c74ffc19b272535b07618ddeba1e0229d0fe7628c54b6a3013ab75e290694f40.jpeg
3,https://www.businesstoday.in/real-estate/story/adani-realty-outbids-lt-to-clinch-rs-30000-crore-bandra-reclamation-project-417906-2024-02-17,"Adani Realty outbids L&T to clinch Rs 30,000 crore Bandra Reclamation project",Business Today,"Feb 17, 2024","Adani Realty offered 23.15% revenue share to the state government body 
while Larsen & Toubro offered 18% share of the project's revenue.",https://serpapi.com/searches/66afbe9158762b60f2f33732/images/c74ffc19b272535b803157595b985827ae546da254fd2ed3cdc0961550e07492.jpeg
4,https://housing.com/news/mumbai-coastal-road-project-route-map-cost-real-estate-impact/,"Mumbai Coastal Road Project: Route map, cost, real estate impact",Housing,1 month ago,"The estimated cost of the project is Rs 13060 crore and the project is 
expected to be completed by June 2024.",https://serpapi.com/searches/66afbe9158762b60f2f33732/images/c74ffc19b272535ba4e8e0a37f8b366fddda0d422b6ae0b26ccb34162dec7817.jpeg
5,https://housing.com/news/versova-bandra-sea-link/,Versova-Bandra Sea Link: Route map and completion date,Housing,"Apr 29, 2024","The Versova-Bandra Sea Link's official name is the Swatantrya Veer Savarkar 
Sea Link. Check out the project details.",https://serpapi.com/searches/66afbe9158762b60f2f33732/images/c74ffc19b272535be0f53fa552abc17deb6e650ef046558bba5a64eaf5f72dd6.jpeg
6,https://housing.com/news/ranbir-kapoor-to-gift-new-rs-250-cr-bungalow-to-daughter-raha/,Ranbir Kapoor to gift new Rs 250 cr bungalow to daughter Raha,Housing,"Mar 29, 2024","Ranbir Kapoor and Alia Bhatt plan to register their Rs 250 crore property 
in their daughter Raha Kapoor's name, according to a report by...",https://serpapi.com/searches/66afbe9158762b60f2f33732/images/c74ffc19b272535bb52dfe833b68cddec4b996c42763a8f8bdcf8a5a41d4504b.jpeg
7,https://housing.com/news/posh-residential-areas-in-mumbai/,Posh Areas In Mumbai With Property Prices,Housing,"Oct 16, 2023","Check out the list of posh areas in Mumbai and its suburban regions that is 
known for housing celebrities, millionaires and businessmen.",https://serpapi.com/searches/66afbe9158762b60f2f33732/images/c74ffc19b272535b79ccbc418fbae5fb3ac93d90949c1d1469d53c1d28fd2bf5.jpeg
8,https://businessworld.in/article/the-mumbai-dream-raging-battle-for-25-bn-redevelopment-of-bandra-reclamation-502553,The Mumbai Dream: Raging Battle for $2.5 Bn Redevelopment of Bandra Reclamation,BW Businessworld,"Dec 18, 2023","A residential colony of around 50 buildings, a bus depot and a large open 
playground all sitting nearly 25 acres of land at Western Mumbai's...",https://serpapi.com/searches/66afbe9158762b60f2f33732/images/c74ffc19b272535be9699c71597a38025f5535b0cab887eec3e071dfbb3e2fe1.jpeg
9,https://www.zeebiz.com/real-estate/news-man-infraconstruction-announces-redevelopment-of-project-in-mumbais-bandra-details-270397,Man Infraconstruction announces redevelopment of project in Mumbais Bandra - Details,Zee Business,"Dec 29, 2023","Earlier this month, the company's board approved raising up to Rs 550.23 
crore via the issue of warrant on a preferential basis.",https://serpapi.com/searches/66afbe9158762b60f2f33732/images/c74ffc19b272535ba1b7deda90e442c083ba02fbb70caa3524f66c201a862681.jpeg
10,https://www.dnaindia.com/business/report-bollywood-star-preity-zinta-acquires-luxe-mumbai-apartment-in-pali-hill-worth-crores-know-its-whopping-price-3065916,Bollywood star Preity Zinta acquires luxe Mumbai apartment in Pali Hill worth crores; know its whopping price,DNA India,"Oct 26, 2023","Preity Zinta acquires an upscale Mumbai apartment in Pali Hill, Bandra, 
sparking speculation about her relocation. Latest News.",https://serpapi.com/searches/66afbe9158762b60f2f33732/images/c74ffc19b272535b4fab689256e38db10d82a59e786d767ae2489b495cd6f7c3.jpeg
1,https://news.abplive.com/entertainment/celebrities/preity-zinta-buys-apartment-worth-rs-17-01-crore-in-bandra-report-1638378,Preity Zinta Buys A Lavish Apartment Worth Rs 17.01 Crore In Bandra : Report,ABP Live,"Oct 26, 2023","Preity Zinta purchased a lavish apartment on the 11th floor of the 
'Parishram' building in Bandra West. Advertisement. By : ABP News Bureau.",https://serpapi.com/searches/66afbe9aea1442f033889945/images/f3ceadc945fea318ac3cd89dbc8fc8735f88496841b8424f27d80d1f177128c3.jpeg
2,https://www.constructionweekonline.in/projects-tenders/ajmera-realty-rustomjee-partner-to-jointly-redevelop-a-society-in-bandra,Ajmera Realty & Rustomjee partner to jointly redevelop a society in Bandra,Construction Week India,"Jan 18, 2024","Ajmera Luxe Realty (ALRPL), a joint venture between Ajmera Realty & Infra 
India (ARIIL), and Keystone Realtors (Rustomjee) will execute a...",https://serpapi.com/searches/66afbe9aea1442f033889945/images/f3ceadc945fea318c403b38761a4fc259ff71a4788fccd0a9b262400f2d98797.jpeg
3,https://housing.com/news/ready-reckoner-rate-in-bandra-kurla-complex-mumbai/,"Ready reckoner rate in Bandra Kurla Complex, Mumbai",Housing,"Feb 13, 2024","To check the ready reckoner rates in Bandra Kurla Complex, Mumbai, one can 
visit the official portal of IGR Maharashtra.",https://serpapi.com/searches/66afbe9aea1442f033889945/images/f3ceadc945fea318cb658ecec6afc922ddf01c8dad9edc2bb80004eac065405a.jpeg
4,https://housing.com/news/circle-rates-in-bandra-west-mumbai/,"Ready reckoner rates in Bandra West, Mumbai",Housing,"Jan 29, 2024","In Mumbai, the Stamps and Registration Department determines ready reckoner 
rates based on market value. Bandra West, known for its mix of...",https://serpapi.com/searches/66afbe9aea1442f033889945/images/f3ceadc945fea318c29fd3f231057405f787dc29885eb19507980ea3f5a14ccf.jpeg
5,https://housing.com/news/rustomjee-stella/,"Rustomjee Group launches Rustomjee Stella in Bandra (East), Mumbai",Housing,"Jan 12, 2024","Rustomjee Group launches Rustomjee Stella in the Bandra East, Mumbai 
offering 2 and BHK apartments with a carpet area between 679 - 942...",https://serpapi.com/searches/66afbe9aea1442f033889945/images/f3ceadc945fea318d9d42e71862cb48966611dfdac67cf308c4fa519d1aefd70.jpeg
6,https://housing.com/news/popular-celebrity-homes-in-mumbais-juhu-and-bandra/,Popular celebrity homes in Mumbai’s Juhu and Bandra,Housing,"Apr 1, 2024","Some of the popular celebrities who own luxurious property in Juhu and 
Bandra localities include Amitabh Bachchan, Shah Rukh Khan,...",https://serpapi.com/searches/66afbe9aea1442f033889945/images/f3ceadc945fea318419e7b50e97ad62e2f5a782cc28759498967552110d63d71.jpeg
7,https://m.economictimes.com/industry/services/property-/-cstruction/adani-realty-gets-msrdcs-24-acre-bandra-reclamation-redevelopment-project/articleshow/107760190.cms,Adani Realty gets MSRDC's 24-acre Bandra Reclamation redevelopment project,The Economic Times,"Feb 16, 2024","The Adani Group's real estate development company Adani Realty has emerged 
as the highest bidder for the redevelopment of the Maharashtra...",https://serpapi.com/searches/66afbe9aea1442f033889945/images/f3ceadc945fea318822089295c22984f9adf9d21df079802526e4774a3947986.jpeg
